PROJECT_ID,SHIPMENT_NUMBER,CARRIER_DISPLAY_ID,VEHICLE_SIZE,VEHICLE_BUILD_UP,FIRST_COLLECTION_POST_CODE,LAST_DELIVERY_POST_CODE,FIRST_COLLECTION_LATITUDE,FIRST_COLLECTION_LONGITUDE,LAST_DELIVERY_LATITUDE,LAST_DELIVERY_LONGITUDE,FIRST_COLLECTION_SCHEDULE_EARLIEST,FIRST_COLLECTION_SCHEDULE_LATEST,LAST_DELIVERY_SCHEDULE_EARLIEST,LAST_DELIVERY_SCHEDULE_LATEST
5456fcfa-5b0c-428e-b322-240d508b6660,SEZHUK-231005-250448,CAUK000096,Tractor Unit,Curtain-Side 13.6M Trailer,PE29 2XR,EH48 2FB,52.315672,-0.157664,55.877803,-3.648558,2023-10-06T09:45:00.000Z,2023-10-06T10:00:00.000Z,2023-10-09T09:55:00.000Z,2023-10-09T10:25:00.000Z
eb7a9df0-4875-43d8-9060-c79c35eae2fb,SEZHUK-231217-275004,CAUK000660,Tractor Unit,Box 44ft,BD5 8LZ,RG19 4BQ,53.764125,-1.740145,51.398851,-1.231993,2023-12-19T14:20:00.000Z,2023-12-19T16:00:00.000Z,2023-12-20T06:00:00.000Z,2023-12-20T08:56:00.000Z
eb7a9df0-4875-43d8-9060-c79c35eae2fb,SEZHUK-231210-272018,CAUK000435,Tractor Unit,Box 44ft,BD5 8LZ,EN3 7QP,53.767302,-1.746560,51.660700,-0.022247,2023-12-14T01:20:00.000Z,2023-12-14T03:00:00.000Z,2023-12-14T07:03:00.000Z,2023-12-14T10:43:00.000Z
40415fe3-e446-4d1e-b141-3698b0dc47f3,SEZHUK-231211-272127,CAUK000096,Tractor Unit,Curtain-Side 13.6M Trailer,HP22 5BL,NG31 7UH,51.779657,-0.772897,52.888113,-0.634948,2023-12-13T09:00:00.000Z,2023-12-13T09:30:00.000Z,2023-12-13T15:30:00.000Z,2023-12-13T16:00:00.000Z
39a4e234-5d35-4d94-8e8a-b8bf6fe13953,SEZHUK-231025-256168,CAUK000155,Tractor Unit,Curtain Side,CV23 8BQ,G75 0ZZ,52.334853,-1.180450,55.735089,-4.168719,2023-11-07T14:00:00.000Z,2023-11-07T15:00:00.000Z,2023-11-07T23:00:00.000Z,2023-11-07T23:59:00.000Z
66a23663-0195-46f2-a5e4-da256bcba47b,SEZHUK-231109-261150,CAUK001009,3.5T Van,LWB Van,NP10 9DQ,DE74 2TR,51.582459,-3.043825,52.829374,-1.332134,2023-11-25T08:30:00.000Z,2023-11-25T09:30:00.000Z,2023-11-25T12:30:00.000Z,2023-11-25T13:30:00.000Z
39a4e234-5d35-4d94-8e8a-b8bf6fe13953,SEZHUK-231120-264422,CAUK000155,Tractor Unit,Curtain Side,CV23 8BQ,ML1 4UY,52.334853,-1.180450,55.825996,-3.989714,2023-12-08T16:00:00.000Z,2023-12-08T17:00:00.000Z,2023-12-08T23:00:00.000Z,2023-12-08T23:59:00.000Z
433732b1-4db6-4969-985d-710c0033eeb4,SEZHUK-231129-267720,CAUK000912,3.5T Van,Box,S35 2PW,LS27 0FU,53.476537,-1.471065,53.734398,-1.604189,2023-12-09T03:15:00.000Z,2023-12-09T03:45:00.000Z,2023-12-09T05:00:00.000Z,2023-12-09T05:30:00.000Z
eb7a9df0-4875-43d8-9060-c79c35eae2fb,SEZHUK-231126-266580,CAUK001068,Tractor Unit,Box 44ft,BD5 8LZ,RG19 4BQ,53.763558,-1.739636,51.398851,-1.231993,2023-11-27T00:20:00.000Z,2023-11-27T02:00:01.000Z,2023-11-27T07:37:00.000Z,2023-11-27T10:33:01.000Z
433732b1-4db6-4969-985d-710c0033eeb4,SEZHUK-231122-265191,CAUK000912,3.5T Van,Box,BD5 8LZ,LE3 8DX,53.766832,-1.740516,52.641456,-1.216005,2023-11-29T00:30:00.000Z,2023-11-29T01:00:00.000Z,2023-11-30T02:30:00.000Z,2023-11-30T03:00:00.000Z
3244246f-e37c-4ba4-b9b3-61416a4449ae,SEZHUK-230929-248606,CAUK000863,Tractor Unit,Curtain-Side 13.6M Trailer,S80 3FY,IP33 2JG,53.293393,-1.074008,52.236599,0.717008,2023-10-02T15:00:00.000Z,2023-10-02T15:59:00.000Z,2023-10-03T08:55:00.000Z,2023-10-03T09:25:00.000Z
bad2a1c4-4cf3-4157-864f-ce161784831f,SEZHUK-231102-258924,CAUK000689,Tractor Unit,Curtain-Side 13.6M Trailer,PR7 7NA,NP26 3TS,53.686775,-2.672518,51.572820,-2.858480,2023-11-03T16:00:00.000Z,2023-11-03T17:00:00.000Z,2023-11-04T10:55:00.000Z,2023-11-04T11:25:00.000Z
3244246f-e37c-4ba4-b9b3-61416a4449ae,SEZHUK-231005-250479,CAUK000689,Tractor Unit,Curtain-Side 13.6M Trailer,S80 3FY,SP4 7GQ,53.293393,-1.074008,51.175340,-1.753679,2023-10-07T12:00:00.000Z,2023-10-07T12:59:00.000Z,2023-10-09T05:55:00.000Z,2023-10-09T06:25:00.000Z
4eac100d-9434-415f-9e91-9be5da145d19,SEZHUK-231207-271072,CAUK000310,Tractor Unit,Tractor Only,PE12 6EW,CV8 3ED,52.782850,-0.124795,52.371658,-1.452326,2023-12-17T10:30:00.000Z,2023-12-17T11:30:00.000Z,2023-12-17T13:30:00.000Z,2023-12-17T14:30:00.000Z
eb7a9df0-4875-43d8-9060-c79c35eae2fb,SEZHUK-230927-247990,CAUK000912,3.5 T Van,Box,S35 2PW,LE3 8DX,53.476793,-1.471546,52.641456,-1.216005,2023-10-04T00:30:00.000Z,2023-10-04T01:00:00.000Z,2023-10-04T03:00:00.000Z,2023-10-04T03:30:00.000Z
ee7cbc7b-4f14-44ac-9c6e-086d70a27141,SEZHUK-231217-274885,CAUK000282,Tractor Unit,Tractor Only 6x2,DN3 3FQ,DN3 3FQ,53.534344,-1.035929,53.534344,-1.035929,2023-12-20T06:00:00.000Z,2023-12-20T07:00:00.000Z,2023-12-20T17:00:00.000Z,2023-12-20T18:00:00.000Z
eb7a9df0-4875-43d8-9060-c79c35eae2fb,SEZHUK-231029-257583,CAUK000435,Tractor Unit,Box 44ft,BD5 8LZ,EN3 7QP,53.763771,-1.739326,51.659325,-0.021793,2023-11-02T22:19:00.000Z,2023-11-03T01:00:01.000Z,2023-11-03T06:00:00.000Z,2023-11-03T08:55:01.000Z
3244246f-e37c-4ba4-b9b3-61416a4449ae,SEZHUK-231019-254337,CAUK000250,Tractor Unit,Curtain-Side 13.6M Trailer,S80 3FY,MULLINGAR,53.293393,-1.074008,53.525595,-7.321696,2023-10-23T05:00:00.000Z,2023-10-23T05:59:00.000Z,2023-10-25T18:25:00.000Z,2023-10-25T18:55:00.000Z
66a23663-0195-46f2-a5e4-da256bcba47b,SEZHUK-231124-265998,CAUK001009,3.5T Van,LWB Van,CA3 0EH,DE74 2TR,54.922111,-2.957338,52.829374,-1.332134,2023-12-08T16:45:00.000Z,2023-12-08T17:45:00.000Z,2023-12-08T21:10:00.000Z,2023-12-08T22:10:00.000Z
2aac1ee1-5cab-42c8-9d2f-ec995a63c14f,SEZHUK-231211-272331,CAUK001047,Tractor Unit,Curtain-Side 13.6M Trailer,GL16 8JB,S80 3EG,51.785961,-2.619676,53.295391,-1.066283,2023-12-12T09:00:00.000Z,2023-12-12T10:00:00.000Z,2023-12-12T15:30:00.000Z,2023-12-12T16:00:00.000Z
3244246f-e37c-4ba4-b9b3-61416a4449ae,SEZHUK-231121-265105,CAUK000863,Tractor Unit,Curtain-Side 13.6M Trailer,S80 3FY,OX16 2AA,53.293393,-1.074008,52.081463,-1.329055,2023-11-23T05:00:00.000Z,2023-11-23T05:59:00.000Z,2023-11-23T10:25:00.000Z,2023-11-23T10:55:00.000Z
eb7a9df0-4875-43d8-9060-c79c35eae2fb,SEZHUK-230930-249028,CAUK000435,Tractor Unit,Box 44ft,AL10 8XF,HP2 7PZ,51.741040,-0.218368,51.771839,-0.439712,2023-10-01T12:00:00.000Z,2023-10-01T13:55:01.000Z,2023-10-01T14:27:00.000Z,2023-10-01T16:27:01.000Z
4eac100d-9434-415f-9e91-9be5da145d19,SEZHUK-231211-272240,CAUK000310,Tractor Unit,Tractor Only,PE12 6EW,CV8 3ED,52.782850,-0.124795,52.371658,-1.452326,2023-12-21T09:30:00.000Z,2023-12-21T10:30:00.000Z,2023-12-21T12:30:00.000Z,2023-12-21T13:30:00.000Z
369b3981-6399-439f-a654-7e90a2493c35,SEZHUK-231024-255902,CAUK000863,Tractor Unit,Curtain-Side 13.6M Trailer,DN3 3FG,IP6 0JW,53.537133,-1.037405,52.106487,1.098275,2023-10-26T06:00:00.000Z,2023-10-26T18:00:00.000Z,2023-10-27T07:02:00.000Z,2023-10-27T07:30:00.000Z
2aac1ee1-5cab-42c8-9d2f-ec995a63c14f,SEZHUK-231213-272973,CAUK001047,Tractor Unit,Curtain-Side 13.6M Trailer,GL16 8JB,S80 3EG,51.785961,-2.619676,53.295391,-1.066283,2023-12-14T20:00:00.000Z,2023-12-14T21:00:00.000Z,2023-12-15T02:30:00.000Z,2023-12-15T03:00:00.000Z
761f4ba9-6b78-46bf-a925-28366e334228,SEZHUK-231205-270018,CAUK000940,Tractor Unit,Box,S18 1PF,RG19 4BQ,53.304842,-1.482042,51.398689,-1.232386,2023-12-21T13:00:00.000Z,2023-12-21T13:30:00.000Z,2023-12-21T17:00:00.000Z,2023-12-21T17:30:00.000Z
eb7a9df0-4875-43d8-9060-c79c35eae2fb,SEZHUK-231029-257555,CAUK000766,Tractor Unit,Box 44ft,BD5 8LZ,HP2 7PZ,53.763771,-1.739326,51.771841,-0.439918,2023-10-31T22:19:00.000Z,2023-11-01T01:00:01.000Z,2023-11-01T05:51:00.000Z,2023-11-01T08:46:01.000Z
eb7a9df0-4875-43d8-9060-c79c35eae2fb,SEZHUK-231008-251119,CAUK000766,Tractor Unit,Box 44ft,BD5 8LZ,ME13 7TW,53.763771,-1.739326,51.328048,0.877608,2023-10-10T01:40:00.000Z,2023-10-10T03:20:01.000Z,2023-10-10T09:14:00.000Z,2023-10-10T12:10:01.000Z
4eac100d-9434-415f-9e91-9be5da145d19,SEZHUK-231129-267387,CAUK000310,Tractor Unit,Tractor Only,PE12 6EW,CV8 3ED,52.782850,-0.124795,52.371658,-1.452326,2023-12-10T12:30:00.000Z,2023-12-10T13:30:00.000Z,2023-12-10T15:30:00.000Z,2023-12-10T16:30:00.000Z
